target_date,reason,missing_feature_columns,diagnostic_values
2021-07-11,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 34.8}"
2021-07-12,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 34.0}"
2021-07-13,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 33.6}"
2021-07-14,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 34.8}"
2021-07-15,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 35.3}"
2021-07-16,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 34.1}"
2021-07-17,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 35.4}"
2021-07-18,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 30.9}"
2021-07-19,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 31.2}"
2021-07-20,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 28.8}"
2021-07-21,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 27.9}"
2021-07-22,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 27.1}"
2021-07-23,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 27.8}"
2021-07-24,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 32.8}"
2021-07-25,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 34.1}"
2021-07-26,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 33.2}"
2021-07-27,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 33.6}"
2021-07-28,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 33.9}"
2021-07-29,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 35.3}"
2021-07-30,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 34.1}"
2021-07-31,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 32.3}"
2021-08-01,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 30.5}"
2021-08-02,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 32.2}"
2021-08-03,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 32.5}"
2021-08-04,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 33.9}"
2021-08-05,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 29.7}"
2021-08-06,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 31.3}"
2021-08-07,"before_archived_first_prediction_date; row-level archive begins on 2021-12-30 even though the current feature table contains HKO cutoff temperature for many earlier dates. The first archived date matches the first non-null HKO 15:00 pressure feature, so R01 records this as an archive/code sample-gate discrepancy requiring the exact old generator to prove intent.","['hko_temp_at_tminus1_1500_c', 'hko_rh_at_tminus1_1500_pct', 'hko_mslp_at_tminus1_1500_hpa', 'hko_temp_tminus1_1200_c', 'hko_temp_tminus1_0900_c']","{'hko_temp_at_tminus1_1500_c': None, 'hko_rh_at_tminus1_1500_pct': None, 'hko_mslp_at_tminus1_1500_hpa': None, 'hko_temp_tminus1_1200_c': None, 'hko_temp_tminus1_0900_c': None, 'hko_tminus2_official_tmax_c': 28.6}"
