decision,experiment_id,family,fdr_note
REJECT,EXP-0084,Data-quality modelling,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0085,Surface energy memory,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0086,Cloud/radiation memory,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0087,Surface energy physics,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0088,Surface energy memory,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0089,Marine climate memory,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0090,Marine wind memory,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0091,Multivariate climate memory,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0092,Analog methods,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
MECHANISM_ONLY,EXP-0093,Privileged-information distillation,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
MECHANISM_ONLY,EXP-0094,Privileged-information distillation,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
MECHANISM_ONLY,EXP-0095,Privileged-information distillation,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0096,Meta-model gating,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0097,Meta-model stacking,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0098,Probabilistic forecast,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
REJECT,EXP-0099,Tail prediction and synthesis,Practical gate used; BH-FDR placeholder retained for future p-value family once block bootstrap CIs are expanded.
