category,decision,experiment_id,folder,primary_comparison,priority,sequence,title
Upper-air physics,REJECT,EXP-0063,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0063,candidate_vs_long_history_core_v1_common_2020_2023,P1,14 of 50,Dry-Layer Entrainment and Evaporative-Cooling Potential
Upper-air dynamics,REJECT,EXP-0064,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0064,candidate_vs_long_history_core_v1_common_2020_2023,P0,15 of 50,"Vertical Wind Shear, Veering/Backing, and Air-Mass Advection"
Upper-air circulation,REJECT,EXP-0065,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0065,candidate_vs_long_history_core_v1_common_2020_2023,P1,16 of 50,"Geopotential Thickness, Ridge Strength, and Persistence Proxy"
Upper-air dynamics,REJECT,EXP-0066,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0066,candidate_vs_long_history_core_v1_common_2020_2023,P0,17 of 50,Twenty-Four/48-Hour Sounding Evolution and Air-Mass Tendency
Upper-air representation,REJECT,EXP-0067,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0067,candidate_vs_long_history_core_v1_common_2020_2023,P1,18 of 50,Functional Profile PCA and Sounding-Shape Analogues
Upper-air regimes,REJECT,EXP-0068,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0068,candidate_vs_long_history_core_v1_common_2020_2023,P0,19 of 50,Soft Upper-Air Regime Mixture of Experts
Data-quality modelling,REJECT,EXP-0069,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0069,candidate_vs_long_history_core_v1_common_2020_2023,P1,20 of 50,"Sounding Quality, Missing-Level Geometry, and Reliability Shrinkage"
Regional surface dynamics,REJECT,EXP-0070,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0070,candidate_vs_long_history_core_v1_common_2020_2023,P0,21 of 50,Raw ISD Intraday Thermal Trajectory Before 15:00 HKT
Regional surface dynamics,REJECT,EXP-0071,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0071,candidate_vs_long_history_core_v1_common_2020_2023,P0,22 of 50,"Intraday Dewpoint, Pressure, and Wind-Tendency Tensor"
Transition meteorology,REJECT,EXP-0072,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0072,candidate_vs_long_history_core_v1_common_2020_2023,P0,23 of 50,Cold-Front and Monsoon-Surge Change-Point Detector
Spatial advection,REJECT,EXP-0073,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0073,candidate_vs_long_history_core_v1_common_2020_2023,P0,24 of 50,Flow-Relative Upwind Station Weighting
Spatial pressure dynamics,REJECT,EXP-0074,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0074,candidate_vs_long_history_core_v1_common_2020_2023,P0,25 of 50,Regional Pressure-Gradient Vector and Tendency Field
Spatial thermal structure,REJECT,EXP-0075,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0075,candidate_vs_long_history_core_v1_common_2020_2023,P0,26 of 50,"Spatial Temperature/Dewpoint Plane, Curvature, and Thermal Centroid"
Coastal meteorology,REJECT,EXP-0076,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0076,candidate_vs_long_history_core_v1_common_2020_2023,P0,27 of 50,Coastal–Inland Thermal Contrast and Sea-Breeze Precursor
Spatial advection,REJECT,EXP-0077,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0077,candidate_vs_long_history_core_v1_common_2020_2023,P1,28 of 50,North–South Continental Air-Mass Gradient and Surge Propagation
Spatial advection,REJECT,EXP-0078,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0078,candidate_vs_long_history_core_v1_common_2020_2023,P1,29 of 50,East–West Pearl River Estuary and Coastal-Flow Gradient
Spatial representation,REJECT,EXP-0079,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0079,candidate_vs_long_history_core_v1_common_2020_2023,P1,30 of 50,Graph-Laplacian Modes of the Long-History Station Network
Spatial statistics,REJECT,EXP-0080,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0080,candidate_vs_long_history_core_v1_common_2020_2023,P1,31 of 50,"Robust Spatial Distribution Shape, Entropy, and Hotspot Extremes"
Spatial temporal propagation,REJECT,EXP-0081,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0081,candidate_vs_long_history_core_v1_common_2020_2023,P0,32 of 50,Station-to-HKO Lead–Lag Propagation Map
Station non-stationarity,REJECT,EXP-0082,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0082,candidate_vs_long_history_core_v1_common_2020_2023,P0,33 of 50,"Station Homogenization, Dynamic Offsets, and HKO Domain Adaptation"
Robustness,REJECT,EXP-0083,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0083,candidate_vs_long_history_core_v1_common_2020_2023,P0,34 of 50,Operational Station-Dropout and Missingness-Robust Learning
Data-quality modelling,REJECT,EXP-0084,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0084,candidate_vs_long_history_core_v1_common_2020_2023,P1,35 of 50,"ISD Report-Type, QC, Observation-Age, and Precision Weighting"
Surface energy memory,REJECT,EXP-0085,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0085,candidate_vs_long_history_core_v1_common_2020_2023,P0,36 of 50,"Antecedent Rainfall, Dry-Spell Length, and Surface-Wetness Memory"
Cloud/radiation memory,REJECT,EXP-0086,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0086,candidate_vs_long_history_core_v1_common_2020_2023,P0,37 of 50,Cloud–Sunshine Persistence and Radiative-Regime Memory
Surface energy physics,REJECT,EXP-0087,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0087,candidate_vs_long_history_core_v1_common_2020_2023,P1,38 of 50,Solar-Radiation-to-Tmax Conversion Efficiency
Surface energy memory,REJECT,EXP-0088,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0088,candidate_vs_long_history_core_v1_common_2020_2023,P1,39 of 50,"Grass Minimum, Evaporation, and Urban Heat-Storage Memory"
Marine climate memory,REJECT,EXP-0089,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0089,candidate_vs_long_history_core_v1_common_2020_2023,P0,40 of 50,North Point Sea–Air Contrast and Marine Moderation Memory
Marine wind memory,REJECT,EXP-0090,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0090,candidate_vs_long_history_core_v1_common_2020_2023,P1,41 of 50,Waglan Wind Persistence and Marine-Ventilation State
Multivariate climate memory,REJECT,EXP-0091,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0091,candidate_vs_long_history_core_v1_common_2020_2023,P0,42 of 50,Long-History Daily-Climate Latent State
Analog methods,REJECT,EXP-0092,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0092,candidate_vs_long_history_core_v1_common_2020_2023,P1,43 of 50,Multivariate Historical Climate-Trajectory Analogues
Privileged-information distillation,MECHANISM_ONLY,EXP-0093,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0093,candidate_vs_long_history_core_v1_common_2020_2023,P1,44 of 50,Tropical-Cyclone Subsidence Teacher and Operational Student
Privileged-information distillation,MECHANISM_ONLY,EXP-0094,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0094,candidate_vs_long_history_core_v1_common_2020_2023,P0,45 of 50,Cloud/Rain/Sunshine Suppression Teacher and Pre-Cutoff Student
Privileged-information distillation,MECHANISM_ONLY,EXP-0095,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0095,candidate_vs_long_history_core_v1_common_2020_2023,P1,46 of 50,Full-Day Synoptic Archetype Distillation
Meta-model gating,REJECT,EXP-0096,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0096,candidate_vs_long_history_core_v1_common_2020_2023,P0,47 of 50,Conditional Champion Gate Across R14/R15/R16/R17 and New Experts
Meta-model stacking,REJECT,EXP-0097,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0097,candidate_vs_long_history_core_v1_common_2020_2023,P0,48 of 50,Nested Residual Stacking with Orthogonal Information Blocks
Probabilistic forecast,REJECT,EXP-0098,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0098,candidate_vs_long_history_core_v1_common_2020_2023,P0,49 of 50,Heteroscedastic Student-t Distribution and Forecastability Calibration
Tail prediction and synthesis,REJECT,EXP-0099,C:\Users\ahmad\Desktop\generalFiles\git\weather_markets\weather_data_extraction\bootstrap\hkg_tmax_elite_codex_bootstrap\hkg_tmax_elite_codex\experiments\EXP-0099,candidate_vs_long_history_core_v1_common_2020_2023,P0,50 of 50,"Tail-Specialist Quantile Mixture, 0.1°C CDF, and Final Pre-Confirmation Freeze"
