source_code,source_family,source_role,feature_prefix,strict_allowed,proxy_allowed,shadow_allowed,blocked,live_only,support_only,unit_semantics_verified,availability_grade,source_time_policy,min_target_date_hkt,max_target_date_hkt,required_source_scope,blocker_reason,promotion_gate,notes
aifsenfo,gribstream,shadow_challenger,aifsens,False,False,True,False,False,False,True,CONSERVATIVE_SCHEDULE,run_time_utc + 6 hours <= formal H24N cutoff,,,full_tactical_backfill_ok_tmax,,may enter after sealed protocol,AI ensemble shadow source.
aigfssfc,gribstream,shadow_challenger,aigfssfc,False,False,True,False,False,False,True,CONSERVATIVE_SCHEDULE,run_time_utc + 6 hours <= formal H24N cutoff,,,full_tactical_backfill_ok_tmax,,may enter after sealed protocol,AI/GFS surface shadow source over short range.
aigfspres,gribstream,support_only,aigfspres,False,False,False,False,False,True,False,CONSERVATIVE_SCHEDULE,"upper-air support only, not a daily Tmax source",,,full_tactical_backfill_ok_tmax,,support-only source,Excluded from daily Tmax strict/proxy/shadow feature matrices.
aigefssfc,gribstream,blocked,aigefssfc,False,False,False,True,False,False,False,BLOCKED,blocked because daily Tmax coverage is too sparse,,,full_tactical_backfill_ok_tmax,Poor usable daily Tmax candidate coverage.,blocked until provider/selector fix,Rows can be leakage-safe but not usable enough for daily Tmax.
graphcast,gribstream,shadow_challenger,graphcast,False,False,True,False,False,False,True,MODEL_RUN_TIME_PROXY_ONLY,model run time proxy only,,,full_tactical_backfill_ok_tmax,,may enter after sealed protocol,Shadow source; availability proof remains weaker than exact first-seen.
fourcastnetgfs,gribstream,shadow_challenger,fourcastnet,False,False,True,False,False,False,True,MODEL_RUN_TIME_PROXY_ONLY,model run time proxy only; archive ends before current period,,,full_tactical_backfill_ok_tmax,,may enter after sealed protocol,Shadow source available through observed archive end only.
nbmoc,gribstream,blocked,nbmoc,False,False,False,True,False,False,False,BLOCKED,blocked empty/probe-only source,,,full_tactical_backfill_ok_tmax,No usable HKO-domain daily Tmax coverage.,blocked until non-empty source proof,Probe-only source excluded from all feature matrices.
station_network_proxy,diagnostic_station_network,proxy_research,station,False,True,False,False,False,False,False,DIAGNOSTIC_ONLY,proxy research only pending operational-vintage repair,,,,,research proxy only,Station wind direction remains forbidden until repaired.
hko_daily_climate_proxy,diagnostic_physics,proxy_research,hko_climate,False,True,False,False,False,False,False,DIAGNOSTIC_ONLY,finalized daily climate is not live exact-vintage,,,,,research proxy only,Never use finalized target-day daily climate as a strict live feature.
igra_upper_air_proxy,diagnostic_physics,support_only,igra,False,True,False,False,False,True,False,DIAGNOSTIC_ONLY,support/proxy only pending sentinel and vintage repair,,,,,support-only proxy,IGRA contains known sentinel/scale issues in current inventory.
tc_best_track_proxy,diagnostic_regime_labels,support_only,tc,False,True,False,False,False,True,False,DIAGNOSTIC_ONLY,retrospective best-track only,,,,,support-only proxy,Retrospective TC best-track may not be used as live strict input.
arwf_live,live_nwp_anchor,live_shadow,arwf,False,False,True,False,True,False,True,LIVE_FIRST_SEEN_ONLY,live first-seen collection only,2026-06-19,,,,live shadow after enough history,ARWF absence is warning-level for Jira 001 and emits placeholders.
