"task_id","phase","title","dependencies","status","status_folder","task_file","spec_file","completion_record"
"T21","C Feature Platform","All-Station Spatiotemporal and Graph Feature Store","T05;T15;T18","not-completed","tasks/not-completed/T21_all_station_spatiotemporal_graph_features","tasks/not-completed/T21_all_station_spatiotemporal_graph_features/t21_all_station_spatiotemporal_graph_features.md","specs/t21_all_station_spatiotemporal_graph_features.json",""
"T22","C Feature Platform","Deterministic NWP Trajectory, Vertical, and Spatial Feature Store","T16;T18","not-completed","tasks/not-completed/T22_deterministic_nwp_trajectory_spatial_features","tasks/not-completed/T22_deterministic_nwp_trajectory_spatial_features/t22_deterministic_nwp_trajectory_spatial_features.md","specs/t22_deterministic_nwp_trajectory_spatial_features.json",""
"T23","C Feature Platform","Ensemble Distribution and Uncertainty Feature Store","T07_T12;T16;T18","not-completed","tasks/not-completed/T23_ensemble_distribution_uncertainty_features","tasks/not-completed/T23_ensemble_distribution_uncertainty_features/t23_ensemble_distribution_uncertainty_features.md","specs/t23_ensemble_distribution_uncertainty_features.json",""
"T24","C Feature Platform","Diagnostic Physics Teacher-to-Safe-Student Features","T15;T18;T21;T22","not-completed","tasks/not-completed/T24_diagnostic_physics_teacher_safe_student","tasks/not-completed/T24_diagnostic_physics_teacher_safe_student/t24_diagnostic_physics_teacher_safe_student.md","specs/t24_diagnostic_physics_teacher_safe_student.json",""
"T25","C Feature Platform","Causal Online Residual and Source Performance State Engine","T14;T18","not-completed","tasks/not-completed/T25_causal_online_residual_state_engine","tasks/not-completed/T25_causal_online_residual_state_engine/t25_causal_online_residual_state_engine.md","specs/t25_causal_online_residual_state_engine.json",""
"T26","C Feature Platform","Feature Registry, Eligibility API, and Automated Leakage Gate","T19;T20;T21;T22;T23;T24;T25","not-completed","tasks/not-completed/T26_feature_registry_eligibility_leakage_api","tasks/not-completed/T26_feature_registry_eligibility_leakage_api/t26_feature_registry_eligibility_leakage_api.md","specs/t26_feature_registry_eligibility_leakage_api.json",""
"T27","D Modelling","Canonical Evaluation Frames and Baseline Ladder","T18;T26","not-completed","tasks/not-completed/T27_canonical_frames_baseline_ladder","tasks/not-completed/T27_canonical_frames_baseline_ladder/t27_canonical_frames_baseline_ladder.md","specs/t27_canonical_frames_baseline_ladder.json",""
"T28","D Modelling","Official, Target-Memory, and Station Family Experts","T27","not-completed","tasks/not-completed/T28_official_target_station_family_experts","tasks/not-completed/T28_official_target_station_family_experts/t28_official_target_station_family_experts.md","specs/t28_official_target_station_family_experts.json",""
"T29","D Modelling","Core GFS and GEFS Local MOS Experts","T22;T23;T27","not-completed","tasks/not-completed/T29_core_gfs_gefs_mos_experts","tasks/not-completed/T29_core_gfs_gefs_mos_experts/t29_core_gfs_gefs_mos_experts.md","specs/t29_core_gfs_gefs_mos_experts.json",""
"T30","D Modelling","IFS, AI, CWA WRF, and ARWF Short-History Challenger Experts","T07_T12;T13;T27","not-completed","tasks/not-completed/T30_short_history_challenger_experts","tasks/not-completed/T30_short_history_challenger_experts/t30_short_history_challenger_experts.md","specs/t30_short_history_challenger_experts.json",""
"T31","D Modelling","Specialist Detector, Correction, and Benefit-Gate Framework","T27;T28;T29","not-completed","tasks/not-completed/T31_specialist_detector_correction_benefit_framework","tasks/not-completed/T31_specialist_detector_correction_benefit_framework/t31_specialist_detector_correction_benefit_framework.md","specs/t31_specialist_detector_correction_benefit_framework.json",""
"T32","D Modelling","Nested Walk-Forward OOF Prediction Factory","T28;T29;T31","not-completed","tasks/not-completed/T32_nested_walk_forward_oof_prediction_factory","tasks/not-completed/T32_nested_walk_forward_oof_prediction_factory/t32_nested_walk_forward_oof_prediction_factory.md","specs/t32_nested_walk_forward_oof_prediction_factory.json",""
"T33","D Modelling","Expected-Error Router with Static Priors, Dynamic Weights, and Abstention","T32","not-completed","tasks/not-completed/T33_expected_error_router_static_dynamic_abstention","tasks/not-completed/T33_expected_error_router_static_dynamic_abstention/t33_expected_error_router_static_dynamic_abstention.md","specs/t33_expected_error_router_static_dynamic_abstention.json",""
"T34","D Modelling","Distributional Calibration and Conditional-Median Point Forecast","T23;T33","not-completed","tasks/not-completed/T34_distributional_calibration_conditional_median","tasks/not-completed/T34_distributional_calibration_conditional_median/t34_distributional_calibration_conditional_median.md","specs/t34_distributional_calibration_conditional_median.json",""
"T35","E Validation","Full System Integration, Ablation, and Championship Tournament","T33;T34","not-completed","tasks/not-completed/T35_full_system_integration_ablation_tournament","tasks/not-completed/T35_full_system_integration_ablation_tournament/t35_full_system_integration_ablation_tournament.md","specs/t35_full_system_integration_ablation_tournament.json",""
"T36","E Validation","One-Time 2024/2025/2026 Sealed Validation and Confirmation","T35","not-completed","tasks/not-completed/T36_one_time_sealed_validation_confirmation","tasks/not-completed/T36_one_time_sealed_validation_confirmation/t36_one_time_sealed_validation_confirmation.md","specs/t36_one_time_sealed_validation_confirmation.json",""
"T37","F Production","Live Daily Inference, Monitoring, and Model Registry","T35;T36","not-completed","tasks/not-completed/T37_live_daily_inference_monitoring_model_registry","tasks/not-completed/T37_live_daily_inference_monitoring_model_registry/t37_live_daily_inference_monitoring_model_registry.md","specs/t37_live_daily_inference_monitoring_model_registry.json",""
"T38","F Production","Probability and Market-Threshold Interface with No-Trade Gate","T34;T37","not-completed","tasks/not-completed/T38_probability_market_interface_no_trade_gate","tasks/not-completed/T38_probability_market_interface_no_trade_gate/t38_probability_market_interface_no_trade_gate.md","specs/t38_probability_market_interface_no_trade_gate.json",""
"T39","F Production","Final Audit, Handoff, and Controlled Research Continuation Loop","T36;T37","not-completed","tasks/not-completed/T39_final_system_audit_handoff_research_loop","tasks/not-completed/T39_final_system_audit_handoff_research_loop/t39_final_system_audit_handoff_research_loop.md","specs/t39_final_system_audit_handoff_research_loop.json",""
