actual_live_latency_statistics,backfill_adapter,blocker,collector_schedule,coverage_status,expected_live_latency,family_id,feature_family,historical_end,historical_live_known_differences,historical_live_schema_compatibility,historical_native_cadence,historical_revision_status,historical_source_id,historical_start,last_historical_success,last_live_success,license_and_commercial_use_status,live_adapter,live_available_at_rule,live_endpoint_or_bucket,live_issue_time_field,live_native_cadence,live_source_id,live_valid_time_field,operational_point_in_time_eligibility
pending after collector runtime,hko_backfill tc-best-track plus current realtime snapshot,historical issued advisories require official archive discovery/request,hko_tropical_cyclone_track_realtime interval 15 minutes,partial,issue time plus retrieval latency,tropical_cyclone_operational_advisories,tropical_cyclone_synoptic_context,best-track 2024; operational advisories current-only,historical point-in-time advisories not acquired before current archive,final best track is not operational advisory history,advisory/event specific,best track is retrospective; realtime advisories immutable after retrieval,tropical_cyclone_monsoon_synoptic,best-track 1985; operational advisories current-only,,,HKO terms apply,direct_source collector,retrieved_at; never replace with final best track,https://www.weather.gov.hk/wxinfo/currwx/tc_list.xml,advisory issue time where present,advisory specific,hko_tropical_cyclone_track_realtime,forecast/advisory valid time,live advisories eligible; best track retrospective only
pending after NCEP collector runtime,ncep historical policy/dry-run required,full historical GFS backfill requires byte-budgeted official archive implementation,ncep_operational_current_batch interval 180 minutes,partial,actual file availability after cycle,gfs_operational,operational_deterministic_nwp,current acquired cycle 2026-06-19,historical archives vary by grid/version; full history byte-budgeted,"same NOAA GFS family, product resolution changes over archive history",four cycles daily,immutable cycle files when archived,noaa_gfs,archive-specific; current acquired cycle 2026-06-19,,,NOAA public data terms apply,hko_backfill_batch ncep-operational-current,first successful retrieval time; never substitute newer cycle,NOAA NOMADS/cloud GFS filters,cycle date/hour from filename and directory,00/06/12/18 UTC,noaa_gfs,cycle plus forecast hour,eligible with cycle availability timestamps
pending after NCEP collector runtime,GEFSv12/AWS policy and implementation required,full GEFSv12 and operational archive backfills require byte-budgeted implementation,ncep_operational_current_batch interval 180 minutes,partial,actual file availability after cycle/member,gefs_operational_and_reforecast,operational_ensemble_nwp,current acquired cycle 2026-06-19,GEFSv12 reforecasts and operational GEFS have product/model-version discontinuities,GEFS reforecast/operational versions differ but same ensemble family,four cycles daily operational; reforecast archive cadence product-specific,immutable cycle/reforecast files when archived,noaa_gefs,GEFSv12 reforecast policy 2000-2019; current acquired cycle 2026-06-19,,,NOAA public data terms apply,hko_backfill_batch ncep-operational-current,first successful retrieval time; preserve member/lead completeness,NOAA NOMADS/cloud GEFS filters,cycle date/hour/member from filename and directory,00/06/12/18 UTC,noaa_gefs,cycle plus forecast hour,eligible with cycle/member/lead availability timestamps
not_started,credential/terms and byte policy required,ECMWF/TIGGE historical access and bulk subset implementation not complete,ecmwf_open_data_metadata interval 180 minutes,credential_blocked,actual file/object appearance time,ecmwf_tigge_open_ifs_aifs,ecmwf_operational_and_ai_forecasts,not_started,product availability/member detail/licensing differ by period,TIGGE/ECDS history differs from open IFS/ENS/AIFS live products,centre/product/cycle specific,TIGGE delayed archive; open-data cycles immutable after self-archive,ecmwf_open_ifs_aifs,TIGGE from 2006-10 where available; open-data rolling current only,,,ECMWF open-data/TIGGE/ECDS terms must be preserved,open-data collector pending,first successful retrieval time; no ERA5 substitution,ECMWF open-data service,forecast cycle/init time,cycle/product specific,ecmwf_open_ifs_aifs,forecast step/valid time,live eligible after collector; TIGGE delayed archive not live
not_started,DWD archive discovery and TIGGE pairing,live GRIB subset/retention policy required before bulk files,dwd_icon_metadata interval 180 minutes,byte_budget_required,directory/object appearance time,dwd_icon_icon_eps,dwd_operational_nwp,not_started,no tested server-side spatial subset for full current files,historical archive route not confirmed; live ICON/ICON-EPS current directory,cycle/product specific,rolling live files unless self-archived; deep archive unknown,dwd_icon,not_started,,,DWD open-data terms apply,metadata collector pending GRIB byte policy,first successful retrieval time,https://opendata.dwd.de/weather/nwp/,cycle directory/filename,cycle/product specific,dwd_icon,forecast step/valid time,live eligible after collector and byte policy
not_applicable,CDS request config/dry-run,CDS credentials and approved byte-budgeted subset required,none for ERA5; periodic CDS refresh after credentials,credential_blocked,not live; map to operational counterparts,era5_era5_land_reanalysis,retrospective_reanalysis_mechanism_context,present with release lag,ERA5 is not historical IFS and not an operational vintage,reanalysis variables mapped to operational forecast fields only,hourly,retrospective-only with version/retrieval metadata,copernicus_era5,1940 ERA5; 1950 ERA5-Land,,,Copernicus CDS terms; credentials/terms acceptance required,operational variable compatibility map,ERA5 forbidden operationally unless release lag is simulated,live operational IFS/GFS/GEFS/ICON variable mapping only,not_applicable_for_ERA5,operational model cycle-specific,ecmwf_open_ifs_aifs,ERA5 valid time; operational counterpart valid time,RETROSPECTIVE_ONLY
not_started,OISST regional subset implementation pending,regional subset implementation and byte estimate required before full 1981-present download,oisst_daily_metadata daily,byte_budget_required,provider daily publication/revision latency,oisst_sst,sea_surface_temperature_ocean_context,not_started,none beyond preliminary/revised state if provider exposes both,same NOAA OISST v2.1 family,daily 0.25 degree,preliminary/revised distinction must be preserved,noaa_oisst_v21,1981-09,,,NOAA public data terms apply,daily OISST updater pending,first successful retrieval time; preserve revision status,NOAA OISST daily product endpoint,file date/publication metadata,daily,noaa_oisst_v21,SST analysis date,eligible only with publication/revision latency tracked
not_started,IMERG request config/dry-run,Earthdata/NASA access and regional subset implementation required,imerg_early_late_metadata interval 30 minutes,credential_blocked,"Early fastest, Late improved, Final delayed",gpm_imerg_precipitation,gridded_precipitation_final_early_late,not_started,"latency, calibration, and revision differences by run type",Final/Early/Late differ and must not be silently substituted,half-hourly 0.1 degree,Final retrospective; Early/Late near-real-time,gpm_imerg_final,2000,,,NASA/Earthdata terms and credentials may apply,IMERG Early/Late collector pending credentials,first successful retrieval time; run type preserved,NASA GPM IMERG endpoints,run issue/publication time,half-hourly,gpm_imerg_early_late,half-hour observation window,Early/Late live eligible after credentials/collector; Final retrospective
not_started,ADS request config/dry-run,ADS credentials/terms and byte-budgeted subset required,cams_forecast_metadata interval 360 minutes,credential_blocked,ADS forecast publication latency,cams_aerosol_haze,aerosol_optical_depth_composition_context,not_started,reanalysis and forecast products differ by latency/assimilation/version,"EAC4 reanalysis maps to CAMS forecast fields, not identical live stream",product-specific reanalysis cadence,retrospective-only reanalysis,cams_eac4_reanalysis,not_started,,,Copernicus ADS credentials/terms required,CAMS forecast collector pending credentials,first successful retrieval time,CAMS ADS forecast dataset,forecast cycle,forecast-cycle specific,cams_global_composition_forecasts,forecast valid time/step,forecast live eligible; EAC4 retrospective only
not_started,endpoint discovery pending,official endpoint discovery and station metadata parsing still required,epd_air_quality_metadata interval 60 minutes,partial,source issue time plus retrieval latency,hong_kong_epd_air_quality,local_air_quality_aerosol_proxy,not_started,station relocations and pollutant availability must be audited,same provider family once endpoints are resolved,hourly or sub-hourly by EPD feed,provider-specific archive/revision behavior unknown,hong_kong_air_quality,not_started,,,EPD/data.gov.hk terms apply,EPD collector pending,first successful retrieval time,EPD/data.gov.hk air quality endpoints,source timestamp,hourly or sub-hourly,hong_kong_air_quality,observation timestamp,eligible after source timestamp/revision audit
not_applicable_for_static,hko_backfill static-context-current,terrain/coastline/LUHK station context parsers still pending,static_context_refresh weekly,partial,source release/update dependent,static_geospatial_station_context,static_station_terrain_land_water_solar_context,source-version specific; LUHK rasters 2018-2024,distance/bearing and solar tables are derived; terrain/coastline/LUHK station context still pending,static refresh of same official source families,static versioned,static source versions preserved,static_geospatial_deterministic_context,source-version specific; LUHK rasters 2018-2024,,,LandsD/PlanD/CSDI/DATA.GOV.HK terms apply,periodic static metadata refresh,retrieved_at and version date; no high-frequency polling,official LandsD/PlanD/CSDI refresh endpoints,source version/publication date,periodic static refresh,terrain_land_cover_coastline,source effective/version date,static eligible after deterministic lineage/versioning
